Days,Survival,Mutant,Virus,TechRep,BiolRep
5,1,0,0,A,1
10,1,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
6,1,0,1,B,1
6,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
8,1,0,1,B,1
2,1,0,1,C,1
3,1,0,1,C,1
3,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
4,1,1,0,D,1
5,1,1,0,D,1
9,1,1,0,D,1
10,1,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
16,0,1,0,D,1
4,1,1,1,E,1
5,1,1,1,E,1
5,1,1,1,E,1
5,1,1,1,E,1
5,1,1,1,E,1
6,1,1,1,E,1
6,1,1,1,E,1
7,1,1,1,E,1
9,1,1,1,E,1
9,1,1,1,E,1
9,1,1,1,E,1
9,1,1,1,E,1
2,1,1,1,F,1
4,1,1,1,F,1
5,1,1,1,F,1
7,1,1,1,F,1
7,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
12,1,1,1,F,1
12,1,1,1,F,1
12,1,1,1,F,1
13,1,1,1,F,1
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
10,0,0,0,G,2
4,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
4,1,0,1,I,2
4,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
6,1,0,1,I,2
4,1,1,0,J,2
6,1,1,0,J,2
6,1,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
10,0,1,0,J,2
2,1,1,1,K,2
3,1,1,1,K,2
5,1,1,1,K,2
6,1,1,1,K,2
6,1,1,1,K,2
6,1,1,1,K,2
6,1,1,1,K,2
6,1,1,1,K,2
6,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
7,1,1,1,K,2
8,1,1,1,K,2
9,1,1,1,K,2
6,1,1,1,L,2
6,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
7,1,1,1,L,2
8,1,1,1,L,2
8,1,1,1,L,2
9,1,1,1,L,2
10,1,1,1,L,2
6,1,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
15,0,0,0,M,3
6,1,0,1,N,3
6,1,0,1,N,3
6,1,0,1,N,3
6,1,0,1,N,3
6,1,0,1,N,3
7,1,0,1,N,3
7,1,0,1,N,3
8,1,0,1,N,3
8,1,0,1,N,3
8,1,0,1,N,3
8,1,0,1,N,3
10,1,0,1,N,3
11,1,0,1,N,3
12,1,0,1,N,3
4,1,0,1,O,3
6,1,0,1,O,3
7,1,0,1,O,3
7,1,0,1,O,3
7,1,0,1,O,3
7,1,0,1,O,3
7,1,0,1,O,3
8,1,0,1,O,3
8,1,0,1,O,3
9,1,0,1,O,3
10,1,0,1,O,3
12,1,0,1,O,3
12,1,0,1,O,3
12,1,0,1,O,3
6,1,1,0,P,3
7,1,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
3,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
6,1,1,1,Q,3
8,1,1,1,Q,3
9,1,1,1,Q,3
2,1,1,1,R,3
6,1,1,1,R,3
6,1,1,1,R,3
6,1,1,1,R,3
6,1,1,1,R,3
6,1,1,1,R,3
6,1,1,1,R,3
6,1,1,1,R,3
6,1,1,1,R,3
7,1,1,1,R,3
8,1,1,1,R,3
15,1,1,1,R,3
16,1,1,1,R,3
16,1,1,1,R,3
16,1,1,1,R,3
